term,abbreviation,type,category,normal_min,normal_max,critical_low,critical_high,unit,frequency_score,icd10_code,cpt_code,snomed_id,explanation
Ibuprofen (variante),,medication,NSAID,,,,,,0.28,,,5428914.0,Drug therapy for managing symptoms and progression of related conditions.
Ibuprofen,,medication,NSAID,,,,,,0.22400000000000003,,,5428914.0,Médicament Drug therapy for managing symptoms and progression of related conditions. prescrit pour Drug therapy for managing symptoms and progression of related conditions.
Ibuprofen,,medication,NSAID,,,,,,0.22400000000000003,,,5428914.0,Effets du Drug therapy for managing symptoms and progression of related conditions. Drug therapy for managing symptoms and progression of related conditions.
Omeprazole,,medication,PPI,,,,,,0.54,,,1852264.0,Pharmacological treatment option in clinical practice.
Omeprazole (variante),,medication,PPI,,,,,,0.54,,,1852264.0,Pharmacological treatment option in clinical practice.
Omeprazole,,medication,PPI,,,,,,0.43200000000000005,,,1852264.0,Traitement par Pharmacological treatment option in clinical practice. Pharmacological treatment option in clinical practice.
Fluoxetine,,medication,SSRI,,,,,,0.67,,,1739653.0,Pharmaceutical drug used to treat ssri conditions.
Fluoxetine (variante),,medication,SSRI,,,,,,0.67,,,1739653.0,Pharmaceutical drug used to treat ssri conditions.
Fluoxetine,,medication,SSRI,,,,,,0.536,,,1739653.0,Thérapie médicamenteuse: Pharmaceutical drug used to treat ssri conditions. Pharmaceutical drug used to treat ssri conditions.
Fluoxetine,,medication,SSRI,,,,,,0.536,,,1739653.0,Traitement par Pharmaceutical drug used to treat ssri conditions. Pharmaceutical drug used to treat ssri conditions.
Sertraline,,medication,SSRI,,,,,,0.4,,,,Pharmaceutical drug used to treat ssri conditions.
Sertraline (variante),,medication,SSRI,,,,,,0.4,,,,Pharmaceutical drug used to treat ssri conditions.
Sertraline,,medication,SSRI,,,,,,0.32000000000000006,,,,Prescription de Pharmaceutical drug used to treat ssri conditions. Pharmaceutical drug used to treat ssri conditions.
Sertraline,,medication,SSRI,,,,,,0.32000000000000006,,,,Posologie du Pharmaceutical drug used to treat ssri conditions. Pharmaceutical drug used to treat ssri conditions.
Amoxicillin,,medication,Antibiotic,,,,,,0.25,,,8175395.0,Drug therapy for managing symptoms and progression of related conditions.
Amoxicillin (variante),,medication,Antibiotic,,,,,,0.25,,,8175395.0,Drug therapy for managing symptoms and progression of related conditions.
Amoxicillin,,medication,Antibiotic,,,,,,0.2,,,8175395.0,Thérapie médicamenteuse: Drug therapy for managing symptoms and progression of related conditions. Drug therapy for managing symptoms and progression of related conditions.
Amoxicillin,,medication,Antibiotic,,,,,,0.2,,,8175395.0,Effets du Drug therapy for managing symptoms and progression of related conditions. Drug therapy for managing symptoms and progression of related conditions.
Azithromycin,,medication,Antibiotic,,,,,,0.11,,,,Pharmacological treatment option in clinical practice.
Azithromycin (variante),,medication,Antibiotic,,,,,,0.11,,,,Pharmacological treatment option in clinical practice.
Azithromycin,,medication,Antibiotic,,,,,,0.08800000000000001,,,,Posologie du Pharmacological treatment option in clinical practice. Pharmacological treatment option in clinical practice.
Azithromycin,,medication,Antibiotic,,,,,,0.08800000000000001,,,,Effets du Pharmacological treatment option in clinical practice. Pharmacological treatment option in clinical practice.
Metoprolol,,medication,Beta-blocker,,,,,,0.59,,,3484601.0,Commonly prescribed medication with specific therapeutic indications.
Metoprolol (variante),,medication,Beta-blocker,,,,,,0.59,,,3484601.0,Commonly prescribed medication with specific therapeutic indications.
Metoprolol,,medication,Beta-blocker,,,,,,0.472,,,3484601.0,Médicament Commonly prescribed medication with specific therapeutic indications. prescrit pour Commonly prescribed medication with specific therapeutic indications.
Metoprolol,,medication,Beta-blocker,,,,,,0.472,,,3484601.0,Traitement par Commonly prescribed medication with specific therapeutic indications. Commonly prescribed medication with specific therapeutic indications.
Furosemide,,medication,Diuretic,,,,,,0.21,,,1669324.0,Medication with established efficacy and safety profile.
Furosemide (variante),,medication,Diuretic,,,,,,0.21,,,1669324.0,Medication with established efficacy and safety profile.
Furosemide,,medication,Diuretic,,,,,,0.168,,,1669324.0,Effets du Medication with established efficacy and safety profile. Medication with established efficacy and safety profile.
Furosemide,,medication,Diuretic,,,,,,0.168,,,1669324.0,Médicament Medication with established efficacy and safety profile. prescrit pour Medication with established efficacy and safety profile.
Hydrochlorothiazide,HCTZ,medication,Diuretic,,,,,,0.29,,,,Drug therapy for managing symptoms and progression of related conditions.
Hydrochlorothiazide (variante),HCTZ_syn,medication,Diuretic,,,,,,0.29,,,,Drug therapy for managing symptoms and progression of related conditions.
Hydrochlorothiazide,HCTZ,medication,Diuretic,,,,,,0.23199999999999998,,,,Effets du Drug therapy for managing symptoms and progression of related conditions. Drug therapy for managing symptoms and progression of related conditions.
Hydrochlorothiazide,HCTZ,medication,Diuretic,,,,,,0.23199999999999998,,,,Thérapie médicamenteuse: Drug therapy for managing symptoms and progression of related conditions. Drug therapy for managing symptoms and progression of related conditions.
Prednisone,,medication,Corticosteroid,,,,,,0.42,,,7817881.0,Pharmaceutical drug used to treat corticosteroid conditions.
Prednisone (variante),,medication,Corticosteroid,,,,,,0.42,,,7817881.0,Pharmaceutical drug used to treat corticosteroid conditions.
Prednisone,,medication,Corticosteroid,,,,,,0.336,,,7817881.0,Traitement par Pharmaceutical drug used to treat corticosteroid conditions. Pharmaceutical drug used to treat corticosteroid conditions.
Clopidogrel,,medication,Antiplatelet,,,,,,0.77,,,4971793.0,Pharmacological treatment option in clinical practice.
Clopidogrel (variante),,medication,Antiplatelet,,,,,,0.77,,,4971793.0,Pharmacological treatment option in clinical practice.
Clopidogrel,,medication,Antiplatelet,,,,,,0.6160000000000001,,,4971793.0,Médicament Pharmacological treatment option in clinical practice. prescrit pour Pharmacological treatment option in clinical practice.
Clopidogrel,,medication,Antiplatelet,,,,,,0.6160000000000001,,,4971793.0,Prescription de Pharmacological treatment option in clinical practice. Pharmacological treatment option in clinical practice.
Headache,,symptom,Acute,,,,,,0.98,I32.6,,,Symptom that may indicate underlying medical conditions.
Céphalée,,symptom,Acute,,,,,,0.98,I32.6,,,Symptom that may indicate underlying medical conditions.
Mal de tête,,symptom,Acute,,,,,,0.98,I32.6,,,Symptom that may indicate underlying medical conditions.
Headache,,symptom,Acute,,,,,,0.784,I32.6,,,Symptom that may indicate underlying medical conditions. -  Symptom that may indicate underlying medical conditions.
Fever,,symptom,Acute,,,,,,0.8,I62.3,,,Patient-reported experience requiring medical evaluation.
Fièvre,,symptom,Acute,,,,,,0.8,I62.3,,,Patient-reported experience requiring medical evaluation.
Pyrexie,,symptom,Acute,,,,,,0.8,I62.3,,,Patient-reported experience requiring medical evaluation.
Fever,,symptom,Acute,,,,,,0.6400000000000001,I62.3,,,Patient-reported experience requiring medical evaluation. -  Patient-reported experience requiring medical evaluation.
Fatigue,,symptom,Chronic,,,,,,0.44,I14.7,,,Common clinical manifestation reported by patients.
Asthénie,,symptom,Chronic,,,,,,0.44,I14.7,,,Common clinical manifestation reported by patients.
Fatigue,,symptom,Chronic,,,,,,0.35200000000000004,I14.7,,,Common clinical manifestation reported by patients. -  Common clinical manifestation reported by patients.
Shortness of Breath,SOB,symptom,Acute,,,,,,0.41,I39.3,,,Clinical sign that guides diagnostic investigations.
Shortness of Breath (variante),SOB_syn,symptom,Acute,,,,,,0.41,I39.3,,,Clinical sign that guides diagnostic investigations.
Shortness of Breath,SOB,symptom,Acute,,,,,,0.328,I39.3,,,Clinical sign that guides diagnostic investigations. -  Clinical sign that guides diagnostic investigations.
Chest Pain,,symptom,Acute,,,,,,0.46,I45.1,,5682940.0,Symptom that may indicate underlying medical conditions.
Chest Pain (variante),,symptom,Acute,,,,,,0.46,I45.1,,5682940.0,Symptom that may indicate underlying medical conditions.
Chest Pain,,symptom,Acute,,,,,,0.36800000000000005,I45.1,,5682940.0,Symptom that may indicate underlying medical conditions. -  Symptom that may indicate underlying medical conditions.
Nausea,,symptom,Acute,,,,,,0.68,I61.8,,1463060.0,Patient-reported experience requiring medical evaluation.
Nausea (variante),,symptom,Acute,,,,,,0.68,I61.8,,1463060.0,Patient-reported experience requiring medical evaluation.
Nausea,,symptom,Acute,,,,,,0.544,I61.8,,1463060.0,Patient-reported experience requiring medical evaluation. -  Patient-reported experience requiring medical evaluation.
Dizziness,,symptom,Acute,,,,,,0.89,I43.2,,5453786.0,Common clinical manifestation reported by patients.
Dizziness (variante),,symptom,Acute,,,,,,0.89,I43.2,,5453786.0,Common clinical manifestation reported by patients.
Dizziness,,symptom,Acute,,,,,,0.7120000000000001,I43.2,,5453786.0,Common clinical manifestation reported by patients. -  Common clinical manifestation reported by patients.
Cough,,symptom,Chronic,,,,,,0.2,I65.5,,6262632.0,Common clinical manifestation reported by patients.
Cough (variante),,symptom,Chronic,,,,,,0.2,I65.5,,6262632.0,Common clinical manifestation reported by patients.
Cough,,symptom,Chronic,,,,,,0.16000000000000003,I65.5,,6262632.0,Common clinical manifestation reported by patients. -  Common clinical manifestation reported by patients.
Joint Pain,Arthralgia,symptom,Chronic,,,,,,0.65,I75.1,,4188992.0,Clinical sign that guides diagnostic investigations.
Joint Pain (variante),Arthralgia_syn,symptom,Chronic,,,,,,0.65,I75.1,,4188992.0,Clinical sign that guides diagnostic investigations.
Joint Pain,Arthralgia,symptom,Chronic,,,,,,0.52,I75.1,,4188992.0,Clinical sign that guides diagnostic investigations. -  Clinical sign that guides diagnostic investigations.
Back Pain,,symptom,Chronic,,,,,,0.14,I65.0,,4305700.0,Patient-reported experience requiring medical evaluation.
Back Pain (variante),,symptom,Chronic,,,,,,0.14,I65.0,,4305700.0,Patient-reported experience requiring medical evaluation.
Back Pain,,symptom,Chronic,,,,,,0.11200000000000002,I65.0,,4305700.0,Patient-reported experience requiring medical evaluation. -  Patient-reported experience requiring medical evaluation.
Abdominal Pain,,symptom,Acute,,,,,,0.49,I95.5,,3090865.0,Patient-reported experience requiring medical evaluation.
Abdominal Pain (variante),,symptom,Acute,,,,,,0.49,I95.5,,3090865.0,Patient-reported experience requiring medical evaluation.
Abdominal Pain,,symptom,Acute,,,,,,0.392,I95.5,,3090865.0,Patient-reported experience requiring medical evaluation. -  Patient-reported experience requiring medical evaluation.
Palpitations,,symptom,Acute,,,,,,0.56,I95.6,,5960271.0,Patient-reported experience requiring medical evaluation.
Palpitations (variante),,symptom,Acute,,,,,,0.56,I95.6,,5960271.0,Patient-reported experience requiring medical evaluation.
Palpitations,,symptom,Acute,,,,,,0.44800000000000006,I95.6,,5960271.0,Patient-reported experience requiring medical evaluation. -  Patient-reported experience requiring medical evaluation.
Rash,,symptom,Localized,,,,,,0.21,I63.6,,3919694.0,Common reason for healthcare consultation.
Rash (variante),,symptom,Localized,,,,,,0.21,I63.6,,3919694.0,Common reason for healthcare consultation.
Rash,,symptom,Localized,,,,,,0.168,I63.6,,3919694.0,Common reason for healthcare consultation. -  Common reason for healthcare consultation.
Weakness,,symptom,Systemic,,,,,,0.61,I61.8,,6098175.0,Common reason for healthcare consultation.
Weakness (variante),,symptom,Systemic,,,,,,0.61,I61.8,,6098175.0,Common reason for healthcare consultation.
Weakness,,symptom,Systemic,,,,,,0.488,I61.8,,6098175.0,Common reason for healthcare consultation. -  Common reason for healthcare consultation.
Constipation,,symptom,Chronic,,,,,,0.29,I84.9,,8801207.0,Patient-reported experience requiring medical evaluation.
Constipation (variante),,symptom,Chronic,,,,,,0.29,I84.9,,8801207.0,Patient-reported experience requiring medical evaluation.
Constipation,,symptom,Chronic,,,,,,0.23199999999999998,I84.9,,8801207.0,Patient-reported experience requiring medical evaluation. -  Patient-reported experience requiring medical evaluation.
Diarrhea,,symptom,Acute,,,,,,0.5,I37.8,,3846949.0,Clinical sign that guides diagnostic investigations.
Diarrhea (variante),,symptom,Acute,,,,,,0.5,I37.8,,3846949.0,Clinical sign that guides diagnostic investigations.
Diarrhea,,symptom,Acute,,,,,,0.4,I37.8,,3846949.0,Clinical sign that guides diagnostic investigations. -  Clinical sign that guides diagnostic investigations.
Blurred Vision,,symptom,Acute,,,,,,0.36,I94.9,,4940441.0,Common clinical manifestation reported by patients.
Blurred Vision (variante),,symptom,Acute,,,,,,0.36,I94.9,,4940441.0,Common clinical manifestation reported by patients.
Blurred Vision,,symptom,Acute,,,,,,0.288,I94.9,,4940441.0,Common clinical manifestation reported by patients. -  Common clinical manifestation reported by patients.
Tinnitus,,symptom,Chronic,,,,,,0.3,I35.2,,,Patient-reported experience requiring medical evaluation.
Tinnitus (variante),,symptom,Chronic,,,,,,0.3,I35.2,,,Patient-reported experience requiring medical evaluation.
Tinnitus,,symptom,Chronic,,,,,,0.24,I35.2,,,Patient-reported experience requiring medical evaluation. -  Patient-reported experience requiring medical evaluation.
Insomnia,,symptom,Chronic,,,,,,0.99,I88.1,,4262081.0,Symptom that may indicate underlying medical conditions.
Insomnia (variante),,symptom,Chronic,,,,,,0.99,I88.1,,4262081.0,Symptom that may indicate underlying medical conditions.
Insomnia,,symptom,Chronic,,,,,,0.792,I88.1,,4262081.0,Symptom that may indicate underlying medical conditions. -  Symptom that may indicate underlying medical conditions.
Weight Loss,,symptom,Systemic,,,,,,0.54,I41.2,,1093026.0,Clinical sign that guides diagnostic investigations.
Weight Loss (variante),,symptom,Systemic,,,,,,0.54,I41.2,,1093026.0,Clinical sign that guides diagnostic investigations.
Weight Loss,,symptom,Systemic,,,,,,0.43200000000000005,I41.2,,1093026.0,Clinical sign that guides diagnostic investigations. -  Clinical sign that guides diagnostic investigations.
